company_id,name,name_ja,industry_code,isin,website
201,SAPPORO HOLDINGS LIMITED,サッポロホールディングス株式会社,3050,JP3320800000,
202,"ASAHI GROUP HOLDINGS,LTD.",アサヒグループホールディングス株式会社,3050,JP3116000005,
203,"Kirin Holdings Company, Limited",キリンホールディングス株式会社,3050,JP3258000003,
204,TAKARA HOLDINGS INC.,宝ホールディングス株式会社,3050,,
205,"Oenon Holdings, Inc.",オエノンホールディングス株式会社,3050,,
206,"YOMEISHU SEIZO CO.,LTD.",養命酒製造株式会社,3050,,
207,"YAKULT HONSHA CO.,LTD.",株式会社ヤクルト本社,3050,JP3931600005,
208,"HOKKAIDO COCA-COLA BOTTLING CO.,LTD.",北海道コカ・コーラボトリング株式会社,3050,,
209,"ITO EN,LTD.",株式会社伊藤園,3050,JP3143000002,
210,Coca-Cola Bottlers Japan Holdings Inc.,コカ・コーラボトラーズジャパンホールディングス株式会社,3050,JP3293200006,
211,"JAPAN FOODS CO.,LTD.",ジャパンフーズ株式会社,3050,,
212,"MARUSAN-AI  CO.,LTD.",マルサンアイ株式会社,3050,,
213,"DyDo GROUP HOLDINGS,INC.",ダイドーグループホールディングス株式会社,3050,,
214,"The Nisshin OilliO Group, Ltd.",日清オイリオグループ株式会社,3050,JP3677200002,
215,FUJI OIL HOLDINGS INC.,不二製油グループ本社株式会社,3050,JP3816400000,
216,KADOYA SESAME MILLS INCORPORATED,かどや製油株式会社,3050,,
217,"J-OIL MILLS, INC.",株式会社Ｊ－オイルミルズ,3050,,
218,KIKKOMAN CORPORATION,キッコーマン株式会社,3050,JP3240400006,
219,"Ajinomoto Co., Inc.",味の素株式会社,3050,JP3119600009,
220,,中部飼料株式会社,3050,,
221,"NIHON SHOKUHIN KAKO CO., LTD.",日本食品化工株式会社,3050,,
222,"Hayashikane Sangyo Co., Ltd.",林兼産業株式会社,3050,,
223,"KAGOME CO.,LTD.",カゴメ株式会社,3050,JP3208200000,
224,NICHIREI CORPORATION,株式会社ニチレイ,3050,JP3665200006,
225,"seihyo co.,ltd",株式会社　セイヒョー,3050,,
226,"Gun Ei Chemical Industry Co., Ltd.",群栄化学工業株式会社,3200,,
227,S&B FOODS INC.,ヱスビー食品株式会社,3050,,
228,"Ishii Food Co.,Ltd.",石井食品株式会社,3050,,
229,"NICHIWA SANGYO CO., LTD.",日和産業株式会社,3050,,
230,"YUASA FUNASHOKU CO.,LTD.",ユアサ・フナショク株式会社,6050,,
231,"NISSIN FOODS HOLDINGS CO.,LTD.",日清食品ホールディングス株式会社,3050,JP3675600005,
232,"MARUDAI FOOD CO.,LTD.",丸大食品株式会社,3050,,
233,"TOYO SUISAN KAISHA, LTD.",東洋水産株式会社,3050,,
234,HOUSE FOODS GROUP INC.,ハウス食品グループ本社株式会社,3050,,
235,Kewpie Corporation,キユーピー株式会社,3050,JP3244800003,
236,YUTAKA FOODS CORPORATION,ユタカフーズ株式会社,3050,,
237,"BULL-DOG SAUCE CO.,LTD.",ブルドックソース株式会社,3050,,
238,"NAGATANIEN HOLDINGS CO.,LTD.",株式会社永谷園ホールディングス,3050,,
239,"ISHIGAKI FOODS CO.,LTD.",石垣食品株式会社,3050,,
240,"TAIYOKAGAKU CO.,LTD.",太陽化学株式会社,3050,,
241,"shinobu foods products co., ltd",シノブフーズ株式会社,3050,,
242,"B-R 31 ICE CREAM CO.,LTD.",Ｂ－Ｒ　サーティワン　アイスクリーム株式会社,3050,,
243,"YAIZU  SUISANKAGAKU  INDUSTRY  CO.,LTD.",焼津水産化学工業株式会社,3050,,
244,"ICHIMASA KAMABOKO CO.,LTD.",一正蒲鉾株式会社,3050,,
245,"OK Food Industry Co., Ltd.",オーケー食品工業株式会社,3050,,
246,"Wakou Shokuhin Co.,Ltd.",和弘食品株式会社,3050,,
247,"ahjikanco.,ltd",株式会社あじかん,3050,,
248,"FUJICCO CO., LTD.",フジッコ株式会社,3050,,
249,"ROCK FIELD CO.,LTD.",株式会社ロック・フィールド,3050,,
250,"SATO FOODS INDUSTRIES CO.,LTD.",佐藤食品工業株式会社,3050,,
251,"ARIAKE JAPAN Co.,Ltd.",アリアケジャパン株式会社,3050,,
252,"ASAHIMATSU FOODS CO.,LTD.",旭松食品株式会社,3050,,
253,Delsole Corporation,株式会社デルソーレ,3050,,
254,key coffee inc,キーコーヒー株式会社,3050,,
255,JAPAN TOBACCO INC.,日本たばこ産業株式会社,3050,JP3726800000,
256,"KENKO Mayonnaise Co., Ltd.",ケンコーマヨネーズ株式会社,3050,,
257,"Semba Tohka Industries Co. ,Ltd",仙波糖化工業株式会社,3050,,
258,"OHMORIYA Co., LTD",株式会社大森屋,3050,,
259,"WARABEYA NICHIYO HOLDINGS CO.,LTD.",わらべや日洋ホールディングス株式会社,3050,,
260,"marutai co.,ltd",株式会社　マルタイ,3050,,
261,NittoBest Corporation,日東ベスト株式会社,3050,,
262,"DAISHO CO.,LTD.",株式会社ダイショー,3050,,
263,"HIGASHIMARU CO., LTD.",株式会社ヒガシマル,3050,,
264,AOHATA Corporation,アヲハタ株式会社,3050,,
265,UNICAFE INC.,株式会社ユニカフェ,3050,,
266,"NATORI CO., LTD.",株式会社なとり,3050,,
267,HAGOROMO FOODS CORPORATION,はごろもフーズ株式会社,3050,,
268,"SATO FOODS CO., LTD.",サトウ食品株式会社,3050,,
269,"Ifuji Sangyo Co., Ltd.",イフジ産業株式会社,3050,,
270,PICKLES CORPORATION,株式会社ピックルスコーポレーション,3050,,
271,"PIETRO Co., Ltd.",株式会社ピエトロ,3050,,
272,"EBARAFoodsIndustry,Inc.",エバラ食品工業株式会社,3050,,
273,"SHINOZAKIYA,INC.",株式会社　篠崎屋,3050,,
274,"RIZAP GROUP,Inc.",ＲＩＺＡＰグループ株式会社,3200,,
275,GUNZE LIMITED,グンゼ株式会社,3100,,
276,KACHIKAIHATSU  CO.LTD.,価値開発株式会社,9050,,
277,"Hulic Co.,Ltd.",ヒューリック株式会社,8050,,
278,"Katakura  Industries  Co.,Ltd.",片倉工業株式会社,3100,,
279,"TOYOBO CO.,LTD.",東洋紡株式会社,3100,,
280,UNITIKA LTD.,ユニチカ株式会社,3100,,
281,KURABO INDUSTRIES LTD.,倉敷紡績株式会社,3100,,
282,"Daiwabo Holdings Co.,Ltd.",ダイワボウホールディングス株式会社,6050,,
283,SHIKIBO LTD.,シキボウ株式会社,3100,,
284,"OMIKENSHI CO.,LTD.",オーミケンシ株式会社,3100,,
285,"SAIBO Co.,Ltd.",サイボー株式会社,3100,,
286,SHINNAIGAI TEXTILE LTD,新内外綿株式会社,3100,,
287,TOYOTA BOSHOKU CORPORATION,トヨタ紡織株式会社,3700,JP3635400009,
288,Oak Capital Corporation,Ｏａｋキャピタル株式会社,7100,,
289,"NITTO BOSEKI CO.,LTD.",日東紡績株式会社,3400,,
290,"Fujibo Holdings, Inc.",富士紡ホールディングス株式会社,3100,,
291,Nisshinbo Holdings Inc.,日清紡ホールディングス株式会社,3650,JP3678000005,
292,"MBK Co.,Ltd.",マーチャント・バンカーズ株式会社,9050,,
293,"Daitobo Co., Ltd.",ダイトウボウ株式会社,3100,,
294,DAIDOH LIMITED,株式会社ダイドーリミテッド,3100,,
295,"THE JAPAN WOOL TEXTILE CO., LTD.",日本毛織株式会社,3100,,
296,Toabo Corporation,株式会社トーア紡コーポレーション,3100,,
297,"THE NIHON SEIMA CO.,LTD",日本製麻株式会社,6050,,
298,"TEIKOKU SEN-I Co.,Ltd.",帝国繊維株式会社,3100,,
299,"seiren co.,ltd.",セーレン株式会社,3100,,
300,Tokai Senko K.K.,東海染工株式会社,3100,,
301,"SAKAIOVEX  CO.,LTD.",サカイオーベックス株式会社,3100,,
302,,北日本紡績株式会社,3100,,
303,"ATSUGI  CO., LTD.",アツギ株式会社,3100,,
304,"Prospect Co.,Ltd.",株式会社プロスペクト,8050,,
305,"SOTOHCO.,LTD.",株式会社ソトー,3100,,
306,"NICHIMO CO.,LTD.",ニチモウ株式会社,6050,,
307,"NAIGAI  CO.,LTD.",株式会社ナイガイ,3100,,
308,"ICHIKAWA CO., LTD.",イチカワ株式会社,3100,,
309,"NIPPON FELT CO.,LTD.",日本フエルト株式会社,3100,,
310,"Suminoe Textile Co., Ltd.",住江織物株式会社,3100,,
311,"ECONACH HOLDINGS CO.,LTD.",エコナックホールディングス株式会社,8050,,
312,"Ashimori Industry Co.,Ltd",芦森工業株式会社,3100,,
313,"NITTO SEIMO CO., LTD.",日東製網株式会社,3100,,
314,AuBEX CORPORATION,オーベクス株式会社,3100,,
315,"BANNERS CO.,LTD.",株式会社バナーズ,6100,,
316,WACOAL HOLDINGS CORP.,株式会社ワコールホールディングス,3100,,
317,"KOMATSU MATERE Co., Ltd.",小松マテーレ株式会社,3100,,
318,SANYO SHOKAI LTD.,株式会社三陽商会,3100,,
319,"SOKO SEIREN CO.,LTD.",倉庫精練株式会社,3100,,
320,YAMATOINTERNATIONALINC.,ヤマトインターナショナル株式会社,3100,,
321,"DESCENTE,LTD.",株式会社デサント,3100,,
322,GOLDWIN INC.,株式会社ゴールドウイン,3100,,
323,LOOK HOLDINGS INCORPORATED,株式会社ルックホールディングス,3100,,
324,"LAPINE CO.,LTD",株式会社ラピーヌ,3100,,
325,"JICHODO Co.,Ltd.",株式会社自重堂,3100,,
326,MRK HOLDINGS INC.,ＭＲＫホールディングス株式会社,6100,,
327,FUJIX Ltd.,株式会社フジックス,3100,,
328,FUJI CORPORATION,株式会社フジコー,3100,,
329,KAWAMOTO CORPORATION,川本産業株式会社,3100,,
330,"KURAUDIA HOLDINGS CO.,LTD.",株式会社クラウディアホールディングス,3100,,
331,DAIKEN CORPORATION,大建工業株式会社,3800,,
332,KANEMATSU SUSTECH CORPORATION,兼松サステック株式会社,3800,,
333,"Nagoya Lumber Co., Ltd.",名古屋木材株式会社,6050,,
334,"WOOD ONE CO.,LTD.",株式会社ウッドワン,3800,,
335,"Eidai Co.,Ltd.",永大産業株式会社,3800,,
336,"HOKUSHIN CO.,LTD.",ホクシン株式会社,3800,,
337,"SEVEN INDUSTRIES CO.,LTD.",セブン工業株式会社,3800,,
338,"NANKAI PLYWOOD CO.,LTD",南海プライウッド株式会社,3800,,
339,NODA CORPORATION,株式会社ノダ,3800,,
340,ORVIS CORPORATION,株式会社オービス,3800,,
341,"NIHON FLUSH CO.,LTD.",ニホンフラッシュ株式会社,3800,,
342,Oji Holdings Corporation,王子ホールディングス株式会社,3150,JP3174410005,
343,MITSUBISHI PAPER MILLS LIMITED,三菱製紙株式会社,3150,,
344,Hokuetsu Corporation,北越コーポレーション株式会社,3150,,
345,"Chuetsu Pulp & Paper Co.,Ltd.",中越パルプ工業株式会社,3150,,
346,"TOMOEGAWA CO.,LTD.",株式会社巴川製紙所,3150,,
347,,野崎印刷紙業株式会社,3800,,
348,"Rengo Co., Ltd.",レンゴー株式会社,3150,JP3981400009,
349,Daio Paper Corporation,大王製紙株式会社,3150,,
350,"FURUBAYASHI SHIKO CO.,LTD.",古林紙工株式会社,3150,,
351,"LIHIT LAB.,INC.",株式会社リヒトラブ,3800,,
352,"Dynapac Co., Ltd.",ダイナパック株式会社,3150,,
353,"TOMOKU CO.,LTD.",株式会社トーモク,3150,,
354,"KOKUYO CO.,LTD.",コクヨ株式会社,3800,JP3297000006,
355,THE PACK CORPORATION,ザ・パック株式会社,3150,,
356,"Superbag Company,Limited",スーパーバッグ株式会社,3150,,
357,"OHISHI SANGYO CO.,LTD.",大石産業株式会社,3150,,
358,UNICHARM CORPORATION,ユニ・チャーム株式会社,3200,JP3951600000,
359,"NAKABAYASHI CO.,LTD.",ナカバヤシ株式会社,3800,,
360,"CHUOH PACK INDUSTRY CO.,LTD.",中央紙器工業株式会社,3150,,
361,"OHMURA SHIGYO CO.,LTD",大村紙業株式会社,3150,,
362,NIPPON KODOSHI CORPORATION,ニッポン高度紙工業株式会社,3150,,
363,SHOWA PAXXS CORPORATION,昭和パックス株式会社,3150,,
364,"Okayama Paper Industries Co.,Ltd.",株式会社岡山製紙,3150,,
365,"IMURA ENVELOPE CO.,INC.",株式会社イムラ封筒,3150,,
366,HAVIX CORPORATION,ハビックス株式会社,3150,,
367,"Tokushu Tokai Paper Co.,Ltd.",特種東海製紙株式会社,3150,,
368,"TOPPAN PRINTING CO.,LTD",凸版印刷株式会社,3800,JP3629000005,
369,"Dai Nippon Printing Co.,Ltd.",大日本印刷株式会社,3800,JP3493800001,
370,"Kyodo Printing Co., Ltd.",共同印刷株式会社,3800,,
371,"MITSUMURA PRINTING CO.,LTD.",光村印刷株式会社,3800,,
372,"Nissha Co., Ltd.",ＮＩＳＳＨＡ株式会社,3800,JP3713200008,
373,"VIA Holdings,Inc.",株式会社ヴィア・ホールディングス,6100,,
374,"GAKKEN  HOLDINGS CO., LTD.",株式会社学研ホールディングス,5250,,
375,"HIKARI BUSINESS FORM CO., LTD.",光ビジネスフォーム株式会社,3150,,
376,"BUNKEIDO CO.,LTD.",株式会社文溪堂,5250,,
377,TAKARA & COMPANY LTD.,株式会社ＴＡＫＡＲＡ　＆　ＣＯＭＰＡＮＹ,3800,,
